CPE Status,Customer,Etherway,Etherflow Ref,Serial Number,Siebel Ref,CPEType,Address (County),Person,SFP Type LAN (Adva),Created,SFP Type WAN (Adva),date,CPEs,SFPs,ADVA825s,ADVA201s,ADVAXG210s,Ciscos,Huaweis,Nokias
Ballymount Stores,HERTZ RESERVATION CENTRE,HERTETHW49573,HERTETHICG49574,800009f0030080ea94a490,1-866888601,ADVA GE201,DUBLIN,S.Mernagh,N/A - Adva Electrical Port,25/09/2018,Adva 10K Single Fibre SFP,27/09/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Core Test,CORETEST112478,CORETEST112478,800009f0030080ea94a160,1-111111111,ADVA GE201,DUBLIN,N.Sexton,N/A - Adva Electrical Port,27/09/2018,Adva 10K Dual Fibre SFP,11/10/2018,1,1,0,1,0,0,0,0
Engineer Collected,Enet,ENASETHW49527,ENASETHG49528,800009f0030080ea94a410,1-866634351,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,27/09/2018,Adva 10K Single Fibre SFP,13/03/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Host Ireland,HOSTETHW49362,HOSTETHG49363,LBADVA71150305990,1-864834621,ADVA 825,DUBLIN,G.Moran,N/A - Adva Electrical Port,27/09/2018,Adva 10K Single Fibre SFP,11/10/2018,1,1,1,0,0,0,0,0
Engineer Collected,Hostel World,HOSTETHW49681,HOSTETHG49682,800009f0030080ea94a670,1-867273941,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,27/09/2018,Adva 10K Single Fibre SFP,24/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,World Com MCI,WOCMETHW49704,WOCMETHG49705,800009f0030080ea94a580,1-867159471,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,28/09/2018,Adva 10K Dual Fibre SFP,04/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,World Com MCI,WOCMETHW49716,WOCMETHG49717,800009f0030080ea94a4f0,1-867290941,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,28/09/2018,Adva 10K Single Fibre SFP,04/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,World Com MCI,WOCMETHW49715,WOCMETHG49717,800009f0030080ea94a390,1-867290941,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,28/09/2018,Adva 10K Single Fibre SFP,04/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Global Crossing Ireland Ltd,GLCRETHW48691,GLCRETHG48692,800009f0030080ea94a570,1-864297741,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,28/09/2018,Adva 10K Single Fibre SFP,04/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,AT&T,ATATETHW49464,ATATETHG49465,800009f0030080ea94a0a0,1-866581621,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,28/09/2018,Adva 10K Single Fibre SFP,04/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Colt,COLTETHW49365,COLTETHG49366,800009f0030080ea94a050,1-866633451,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,28/09/2018,Adva 10K Dual Fibre SFP,04/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Colt Telecom,COLTETHW48804,COLTETHG48805,800009f0030080ea94a5c0,1-864790241,ADVA GE201,MAYO,P.Fox,N/A - Adva Electrical Port,01/10/2018,Adva 10K Single Fibre SFP,04/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,World Com MCI,WOCMETHW49707,WOCMETHG49708,800009f0030080ea94a6d0,1-867290711,ADVA GE201,CLARE,P.Fox,N/A - Adva Electrical Port,01/10/2018,Adva 10K Single Fibre SFP,04/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,worldcom,WOCMETHW49549,WOCMETHG49717,800009f0030080ea94a190,1-866816981,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,01/10/2018,Adva 10K Single Fibre SFP,04/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,GTT emea ltd,GTTEETHW49657,GTTEETHGIP49658,800009f0030080ea94a380,1-866963641,ADVA GE201,FERMANAGH,G.Moran,N/A - Adva Electrical Port,01/10/2018,Adva 10K Single Fibre SFP,04/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,AT&T,ATATETHW49562,ATATETHG49563,800009f0030080ea94a0e0,1-866857721,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,02/10/2018,Adva 10K Single Fibre SFP,04/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,World Com MCI,WOCMETHW49644,WOCMETHG49645,LBADVA71114201315,1-867159691,ADVA 825,WATERFORD,P.Fox,N/A - Adva Electrical Port,02/10/2018,Adva 10K Single Fibre SFP,10/10/2018,1,1,1,0,0,0,0,0
Ballymount Stores,worldcom,WOCMETHW49551,WOCMETHG49552,LBADVA71123500914,1-866817531,ADVA 825,DUBLIN,G.Moran,N/A - Adva Electrical Port,03/10/2018,Adva 10K Single Fibre SFP,11/10/2018,1,1,1,0,0,0,0,0
Ballymount Stores,Concert-B-ends,CNCRETHW49115,CNCRETHGM49116,LBADVA71104800684,1-865880801,ADVA 825,FERMANAGH,G.Moran,N/A - Adva Electrical Port,03/10/2018,Adva 10K Single Fibre SFP,11/10/2018,1,1,1,0,0,0,0,0
Engineer Collected,WX0130 New ROss ESB - THREE,NA,N/A,,1-859233431,NOKIA 7210 SAS-M,WEXFORD,N.Sexton,N/A,04/10/2018,N/A,04/10/2018,1,1,0,0,0,0,0,1
Engineer Collected,LO0108 Dundalk ESB - THREE,NA,N/A,,1-866524641,NOKIA 7210 SAS-MXP,LOUTH,N.Sexton,N/A,04/10/2018,N/A,04/10/2018,1,1,0,0,0,0,0,1
Courier Shipped to Site,CK0014 Farmers Cross,NA,N/A,,1-867950817,NOKIA 7210 SAS-MXP,CORK,N.Sexton,N/A,04/10/2018,N/A,04/10/2018,1,1,0,0,0,0,0,1
Ballymount Stores,Glanbia,NA,GLANETHGIPCI47033,,1-860102181,CISCO ISR 4331-K9,KILDARE,N.Sexton,N/A,04/10/2018,N/A,11/10/2018,1,1,0,0,0,1,0,0
Courier Shipped to Site,MY0164 Westport ESB - THREE,NA,N/A,0000197f00004c5fd27ce3ea,1-854310131,NOKIA 7210 SAS-M,MAYO,N.Sexton,N/A,04/10/2018,N/A,10/10/2018,1,1,0,0,0,0,0,1
Engineer Collected,worldcom,WOCMETHW49816,WOCMETHG49817,LBADVA71161601460,1-867631241,ADVA 825,DUBLIN,G.Moran,N/A - Adva Electrical Port,04/10/2018,Adva 10K Single Fibre SFP,25/03/2019,1,1,1,0,0,0,0,0
Ballymount Stores,Concert-B-ends,CNCRETHW49800,CNCRETHGM49801,LBADVA71134101393,1-867444861,ADVA 825,KERRY,G.Moran,N/A - Adva Electrical Port,04/10/2018,Adva 10K Single Fibre SFP,11/10/2018,1,1,1,0,0,0,0,0
Ballymount Stores,Three Ireland,ESDGETHW49613,ESDGETHG49614,LBADVA71170701154,1-867160181,ADVA 825,DUBLIN,P.Fox,N/A - Adva Electrical Port,05/10/2018,Adva 10K Dual Fibre SFP,11/10/2018,1,1,1,0,0,0,0,0
Ballymount Stores,LYNOTT TELECONSULT LIMITED,LYNOETHW49298,LYNOETHG49300,LBADVA71114807590,1-867095391,ADVA 825,DUBLIN,P.Fox,Adva Multimode SFP (10k),05/10/2018,Adva 10K Dual Fibre SFP,11/10/2018,1,2,1,0,0,0,0,0
Ballymount Stores,LYNOTT TELECONSULT LIMITED,LYNOETHW49299,LYNOETHG49300,LBADVA71150704505,1-867095391,ADVA 825,DUBLIN,P.Fox,Adva Multimode SFP (10k),05/10/2018,Adva 10K Single Fibre SFP,11/10/2018,1,2,1,0,0,0,0,0
Courier Shipped to Site,Global Crossing,GLCRETHW49547,GLCRETHG49548,LBADVA71122800606,1-866467731,ADVA 825,SLIGO,G.Moran,N/A - Adva Electrical Port,05/10/2018,Adva 10K Single Fibre SFP,29/11/2018,1,1,1,0,0,0,0,0
Engineer Collected,AT&T,ATATETHW49700,ATATETHG49701,LBADVA71153004159,1-867304461,ADVA 825,DUBLIN,P.Fox,N/A - Adva Electrical Port,05/10/2018,Adva 10K Single Fibre SFP,11/12/2018,1,1,1,0,0,0,0,0
Cork Office,Pure Telecom,PUREETHW49796,PUREETHGIP49797,LBADVA71132900863,1-867512101,ADVA 825,CORK,D.Carty,N/A - Adva Electrical Port,05/10/2018,Adva 10K Single Fibre SFP,14/03/2019,1,1,1,0,0,0,0,0
Ballymount Stores,worldcom,WOCMETHW48257,WOCMETHG48258,LBADVA71123500677,1-863292081,ADVA 825,DUBLIN,G.Moran,Adva Dual Fibre SFP (10k),05/10/2018,Adva 10K Single Fibre SFP,11/10/2018,1,2,1,0,0,0,0,0
Ballymount Stores,Equant,ORBSETHW49596,ORBSETHGIP49597,LBADVA71123501077,1-866828591,ADVA 825,GALWAY,D.Carty,N/A - Adva Electrical Port,05/10/2018,Adva 10K Dual Fibre SFP,11/10/2018,1,1,1,0,0,0,0,0
Ballymount Stores,Concert B End,cncrethw49519 ,CNCRETHGM49520,LBADVA71150903168,1-866817271,ADVA 825,KILDARE,N.Sexton,N/A - Adva Electrical Port,08/10/2018,Adva 10K Dual Fibre SFP,11/10/2018,1,1,1,0,0,0,0,0
Engineer Collected,Concert B Ends,CNCRETHW49855,CNCRETHGM49856,800009f0030080ea94a310,1-867821951,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,09/10/2018,Adva 10K Dual Fibre SFP,10/01/2019,1,1,0,1,0,0,0,0
Courier Shipped to Site,CK0001 Roches Car Park - THREE,NA,N/A,0000197f00008cf77392c6ad,1-999999999,NOKIA 7210 SAS-MXP,CORK,N.Sexton,N/A,10/10/2018,N/A,10/10/2018,1,1,0,0,0,0,0,1
Ballymount Stores,AT&T,NA,N/A,,1-846506941,HUAWEI AR208E,DUBLIN,N.Sexton,N/A,10/10/2018,N/A,11/10/2018,1,1,0,0,0,0,1,0
Ballymount Stores,SAndyford 5R - CFN,NA,N/A,,1-999999999,NOKIA 5R,DUBLIN,N.Sexton,N/A,11/10/2018,N/A,11/10/2018,1,1,0,0,0,0,0,1
Ballymount Stores,World Com MCI,WOCMETHW48915,WOCMETHG48916,800009f0030080ea94a810,1-865133501,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,12/10/2018,Adva 10K Dual Fibre SFP,23/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,T-SYSTEMS LIMITED,TSYSETHW49859,TSYSETHG49860,800009f0030080ea94a240,1-867929711,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,12/10/2018,Adva 10K Dual Fibre SFP,23/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Concert B Ends,CNCRETHW49793,CNCRETHGM49794,800009f0030080ea94a020,1-867715571,ADVA GE201,LOUTH,P.Fox,N/A - Adva Electrical Port,12/10/2018,Adva 10K Single Fibre SFP,23/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,o2,ESDGETHW49802,ESDGETHG49803,800009f0030080ea94a740,1-867512861,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,12/10/2018,Adva 10K Single Fibre SFP,07/12/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Concert-B-ends,CNCRETHW49760,CNCRETHGM49761,800009f0030080ea94a230,1-831373209,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,12/10/2018,Adva 10K Single Fibre SFP,23/10/2018,1,1,0,1,0,0,0,0
Cork Office,Cable & Wireless,CWCMETHW49806,CWCMETHG49807,800009f0030080ea94a000,1-867641801,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,15/10/2018,Adva 10K Dual Fibre SFP,05/11/2018,1,1,0,1,0,0,0,0
Engineer Collected,Concert B-end,CNCRETHW49853,CNCRETHICG49854,800009f0030080ead17500,1-867813161,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,15/10/2018,Adva 10K Dual Fibre SFP,31/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Irish Dairy Board Ltd,IRDBETHG50014,IRDBETHW50013,800009f0030080ea94a4b0,1-868334111,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,15/10/2018,Adva 10K Dual Fibre SFP,23/10/2018,1,1,0,1,0,0,0,0
Cancelled Order,Concert B-end,CNCRETHW49500,CNCRETHGM49501,800009f0030080ead179c0,1-868057601,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,15/10/2018,Adva 10K Dual Fibre SFP,23/04/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Host Ireland,HOSTETHW49843,HOSTETHG49845,800009f0030080eab1bbd8,1-867929931,ADVA XG210,DUBLIN,G.Moran,Adva 10G XFP 10km,17/10/2018,Adva 10G XFP 10km,23/10/2018,1,2,0,0,1,0,0,0
Ballymount Stores,Host Ireland,HOSTETHW49844,HOSTETHG49845,800009f0030080eab1bcc8,1-867929931,ADVA XG210,DUBLIN,G.Moran,Adva 10G XFP 10km,17/10/2018,Adva 10G XFP 10km,23/10/2018,1,2,0,0,1,0,0,0
Engineer Collected,CL0053 Mhuine Bheag,NA,N/A,,1-867273401,NOKIA 7210 SAS-M,CARLOW,N.Sexton,N/A,17/10/2018,N/A,23/10/2018,1,1,0,0,0,0,0,1
Engineer Collected,DU0825 O2 Ballymount - THREE,NA,N/A,,1-868534621,NOKIA 7210 SAS-MXP,DUBLIN,N.Sexton,N/A,17/10/2018,N/A,08/11/2018,1,1,0,0,0,0,0,1
Ballymount Stores,E Nasc (E Net),ENASETHW49913,ENASETHG49914,800009f0030080ea94a2a0,1-867813711,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,17/10/2018,Adva 10K Dual Fibre SFP,03/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Global Crossing,GLCRETHW49893,GLCRETHG49894,800009f0030080ead176c0,1-867915481,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,17/10/2018,Adva 10K Single Fibre SFP,23/10/2018,1,1,0,1,0,0,0,0
Cancelled Order,AT&T,ATATETHW49897,ATATETHG49898,800009f0030080ead17970,1-868093161,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,18/10/2018,Adva 10K Single Fibre SFP,14/01/2019,1,1,0,1,0,0,0,0
Engineer Collected,Colt Telecom,COLTETHW49967,COLTETHG49968,800009f0030080ea9487b0,1-867899051,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,18/10/2018,Adva 10K Single Fibre SFP,14/12/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Concert B-end,CNCRETHW49338,CNCRETHGM49339,800009f0030080ead17940,1-867115661,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,18/10/2018,Adva 10K Single Fibre SFP,30/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Colt Telecom,COLTETHW49965,COLTETHG49966,800009f0030080ead179b0,1-868004791,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,19/10/2018,Adva 10K Single Fibre SFP,30/10/2018,1,1,0,1,0,0,0,0
Courier Shipped to Site,Cogent Communications,CGENETHW49985,CGENETHG49986,800009f0030080ead17990,1-868061481,ADVA GE201,DONEGAL,D.Carty,N/A - Adva Electrical Port,19/10/2018,Adva 10K Single Fibre SFP,21/02/2019,1,1,0,1,0,0,0,0
Engineer Collected,LX0105 Ridge of Cappard - THREE,NA,N/A,0000197f00000025ba0cb660,1-867324391,NOKIA 7210 SAS-M,LAOIS,N.Sexton,N/A,22/10/2018,N/A,30/10/2018,1,1,0,0,0,0,0,1
Engineer Collected,Asana Software,ASANETHW49960,ASANETHGIP49961,800009f0030080ead17510,1-868093601,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,22/10/2018,Adva 10K Single Fibre SFP,02/01/2019,1,1,0,1,0,0,0,0
Cancelled Order,Pure Telecom,PUREETHW49395,PUREETHGIP49396,800009f0030080ea94a2e0,1-866125711,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,22/10/2018,Adva 10K Dual Fibre SFP,30/01/2019,1,1,0,1,0,0,0,0
Engineer Collected,Concert B Ends,CNCRETHW50152,CNCRETHGM50153,800009f0030080ea94a1f0,1-868472331,ADVA GE201,KILDARE,S.Mernagh,N/A - Adva Electrical Port,22/10/2018,Adva RJ45 SFP,20/05/2019,1,1,0,1,0,0,0,0
Ballymount Stores,CSN  Stores limited,CSNSETHW49113,CSNSETHGIP49114,800009f0030080ead175c0,1-867893201,ADVA GE201,GALWAY,D.Carty,N/A - Adva Electrical Port,22/10/2018,Adva 10K Single Fibre SFP,30/10/2018,1,1,0,1,0,0,0,0
Engineer Collected,DU0165 Whitestown ESB - THREE ,NA,N/A,0000197f00008cf773931081,1-866965321,NOKIA 7210 SAS-MXP,DUBLIN,N.Sexton,N/A,23/10/2018,N/A,30/10/2018,1,1,0,0,0,0,0,1
Engineer Collected,Equant,ORBSETHW50053,ORBSETHG50054,800009f0030080ead17420,1-868475511,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,23/10/2018,Adva 10K Single Fibre SFP,30/04/2019,1,1,0,1,0,0,0,0
Engineer Collected,Global Crossing,GLCRETHW49702,GLCRETHG49703,800009f0030080ead17560,1-867273691,ADVA GE201,KILDARE,D.Carty,N/A - Adva Electrical Port,23/10/2018,Adva 10K Dual Fibre SFP,29/11/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Concert B Ends,CNCRETHW50175,CNCRETHGM50176,800009f0030080ead17590,1-868472311,ADVA GE201,KILDARE,P.Fox,N/A - Adva Electrical Port,24/10/2018,Adva 10K Dual Fibre SFP,30/10/2018,1,1,0,1,0,0,0,0
Ballymount Stores,AT&T,ATATETHW49554,ATATETHG49555,800009f0030080ead17450,1-866697041,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,25/10/2018,Adva 10K Dual Fibre SFP,30/10/2018,1,1,0,1,0,0,0,0
Engineer Collected,AT&T,ATATETHW49895,ATATETHG49896,800009f0030080ea94a130,1-867915551,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,26/10/2018,Adva 10K Dual Fibre SFP,07/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Concert B Ends,CNCRETHW50154,CNCRETHGM50155,800009f0030080ead17470,1-868377641,ADVA GE201,KILDARE,P.Fox,N/A - Adva Electrical Port,30/10/2018,Adva 10K Dual Fibre SFP,08/11/2018,1,1,0,1,0,0,0,0
Engineer Collected,Equant,ORBSETHW50040,ORBSETHG50041,800009f0030080ead17980,1-868582481,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,30/10/2018,Adva 10K Dual Fibre SFP,11/12/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Equant,ORBSETHW50042,ORBSETHG50043,800009f0030080ead17750,1-868582471,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,30/10/2018,Adva 10K Dual Fibre SFP,02/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Pure Telecom,PUREETHW49598,PUREETHGIP49599,,1-866828881,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,31/10/2018,Adva 10K Dual Fibre SFP,07/11/2018,1,1,0,1,0,0,0,0
Cork Office,Concert B Ends,CNCRETHW50195,CNCRETHGM50196,800009f0030080ead175a0,1-868667341,ADVA GE201,CORK,P.Fox,N/A - Adva Electrical Port,31/10/2018,Adva 10K Single Fibre SFP,14/03/2019,1,1,0,1,0,0,0,0
Engineer Collected,Concert B Ends,CNCRETHW50143,CNCRETHGM50144,800009f0030080ead17700,1-868534171,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,31/10/2018,Adva 10K Dual Fibre SFP,28/02/2019,1,1,0,1,0,0,0,0
Engineer Collected,DU0134 ESB Ballymount,NA,N/A,,1-868738791,NOKIA 7210 SAS-MXP,DUBLIN,N.Sexton,N/A,31/10/2018,N/A,08/11/2018,1,1,0,0,0,0,0,1
Ballymount Stores,Equant,ORBSETHW49533,ORBSETHG49534,800009f0030080ead17670,1-866697031,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,31/10/2018,Adva 10K Dual Fibre SFP,12/12/2018,1,1,0,1,0,0,0,0
Engineer Collected,Concert B Ends,CNCRETHW50173,CNCRETHGM50174,800009f0030080ead17710,1-868475951,ADVA GE201,KILDARE,P.Fox,N/A - Adva Electrical Port,31/10/2018,Adva 10K Dual Fibre SFP,07/05/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Worldcom,WOCMETHW50228,WOCMETHG50229,800009f0030080ead17410,1-868645811,ADVA GE201,CLARE,D.Carty,N/A - Adva Electrical Port,01/11/2018,Adva 10K Single Fibre SFP,08/11/2018,1,1,0,1,0,0,0,0
